env,env_label,method,seed,random_repeat,goal_offset,eval_budget,num_tasks,success_rate,distance_to_goal,eval_task_seed,policy_seed,elapsed_seconds,status,result_dir,metrics_path,final_training_run
reacher,Reacher,random,,0,100,200,100,12.0,nan,63030,73030,109.09767079353333,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_100/metrics.json,
pusht,Push-T,forward_only,0,,25,50,100,0.0,nan,64025,74025,259.733101606369,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_25/metrics.json,pusht_forward_only_seed0
pusht,Push-T,inverse,0,,25,50,100,87.0,nan,64025,74025,260.3329064846039,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_25/metrics.json,pusht_inverse_lambda_30_seed0
pusht,Push-T,sigreg,0,,25,50,100,94.0,nan,64025,74025,266.0489192008972,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_25/metrics.json,pusht_sigreg_seed0
pusht,Push-T,random,,0,25,50,100,2.0,nan,64025,74025,16.910424947738647,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_25/metrics.json,
pusht,Push-T,forward_only,0,,40,80,100,0.0,nan,64026,74026,523.968724489212,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_40/metrics.json,pusht_forward_only_seed0
pusht,Push-T,inverse,0,,40,80,100,53.0,nan,64026,74026,506.03532814979553,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_40/metrics.json,pusht_inverse_lambda_30_seed0
pusht,Push-T,sigreg,0,,40,80,100,56.99999999999999,nan,64026,74026,519.1617293357849,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_40/metrics.json,pusht_sigreg_seed0
pusht,Push-T,random,,0,40,80,100,2.0,nan,64026,74026,26.452507972717285,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_40/metrics.json,
pusht,Push-T,forward_only,0,,55,110,100,0.0,nan,64027,74027,654.2843008041382,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_55/metrics.json,pusht_forward_only_seed0
pusht,Push-T,inverse,0,,55,110,100,31.0,nan,64027,74027,664.0020680427551,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_55/metrics.json,pusht_inverse_lambda_30_seed0
pusht,Push-T,sigreg,0,,55,110,100,34.0,nan,64027,74027,684.7226865291595,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_55/metrics.json,pusht_sigreg_seed0
pusht,Push-T,random,,0,55,110,100,1.0,nan,64027,74027,36.22350287437439,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_55/metrics.json,
pusht,Push-T,forward_only,0,,70,140,100,0.0,nan,64028,74028,794.9780833721161,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_70/metrics.json,pusht_forward_only_seed0
pusht,Push-T,inverse,0,,70,140,100,15.0,nan,64028,74028,727.7752332687378,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_70/metrics.json,pusht_inverse_lambda_30_seed0
pusht,Push-T,sigreg,0,,70,140,100,16.0,nan,64028,74028,803.7467994689941,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_70/metrics.json,pusht_sigreg_seed0
pusht,Push-T,random,,0,70,140,100,0.0,nan,64028,74028,38.24081468582153,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_70/metrics.json,
pusht,Push-T,forward_only,0,,85,170,100,0.0,nan,64029,74029,865.9370267391205,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_85/metrics.json,pusht_forward_only_seed0
pusht,Push-T,inverse,0,,85,170,100,16.0,nan,64029,74029,909.9726874828339,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_85/metrics.json,pusht_inverse_lambda_30_seed0
pusht,Push-T,sigreg,0,,85,170,100,16.0,nan,64029,74029,789.963707447052,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_85/metrics.json,pusht_sigreg_seed0
pusht,Push-T,random,,0,85,170,100,1.0,nan,64029,74029,49.04454016685486,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_85/metrics.json,
pusht,Push-T,forward_only,0,,100,200,100,0.0,nan,64030,74030,1008.8953795433044,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_100/metrics.json,pusht_forward_only_seed0
pusht,Push-T,inverse,0,,100,200,100,13.0,nan,64030,74030,1007.734132528305,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_100/metrics.json,pusht_inverse_lambda_30_seed0
pusht,Push-T,sigreg,0,,100,200,100,15.0,nan,64030,74030,1077.7413880825043,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_100/metrics.json,pusht_sigreg_seed0
pusht,Push-T,random,,0,100,200,100,0.0,nan,64030,74030,64.64357304573059,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/random/offset_100/metrics.json,
ogbcube,OGBench-Cube,forward_only,0,,25,50,100,55.00000000000001,nan,65025,75025,341.9396631717682,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_25/metrics.json,cube_forward_only_seed0
ogbcube,OGBench-Cube,inverse,0,,25,50,100,86.0,nan,65025,75025,355.86626863479614,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_25/metrics.json,cube_inverse_lambda_1_seed0
ogbcube,OGBench-Cube,sigreg,0,,25,50,100,66.0,nan,65025,75025,339.8378703594208,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_25/metrics.json,cube_sigreg_seed0
ogbcube,OGBench-Cube,random,,0,25,50,100,49.0,nan,65025,75025,82.29143261909485,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_25/metrics.json,
ogbcube,OGBench-Cube,forward_only,0,,40,80,100,48.0,nan,65026,75026,631.4796152114868,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_40/metrics.json,cube_forward_only_seed0
ogbcube,OGBench-Cube,inverse,0,,40,80,100,71.0,nan,65026,75026,592.7030527591705,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_40/metrics.json,cube_inverse_lambda_1_seed0
ogbcube,OGBench-Cube,sigreg,0,,40,80,100,57.99999999999999,nan,65026,75026,618.9860708713531,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_40/metrics.json,cube_sigreg_seed0
ogbcube,OGBench-Cube,random,,0,40,80,100,47.0,nan,65026,75026,98.21372151374817,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_40,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_40/metrics.json,
ogbcube,OGBench-Cube,forward_only,0,,55,110,100,40.0,nan,65027,75027,752.2870984077454,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_55/metrics.json,cube_forward_only_seed0
ogbcube,OGBench-Cube,inverse,0,,55,110,100,64.0,nan,65027,75027,782.9173333644867,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_55/metrics.json,cube_inverse_lambda_1_seed0
ogbcube,OGBench-Cube,sigreg,0,,55,110,100,50.0,nan,65027,75027,773.589352607727,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_55/metrics.json,cube_sigreg_seed0
ogbcube,OGBench-Cube,random,,0,55,110,100,36.0,nan,65027,75027,115.56126928329468,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_55,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_55/metrics.json,
ogbcube,OGBench-Cube,forward_only,0,,70,140,100,44.0,nan,65028,75028,916.3377416133881,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_70/metrics.json,cube_forward_only_seed0
ogbcube,OGBench-Cube,inverse,0,,70,140,100,79.0,nan,65028,75028,856.0845956802368,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_70/metrics.json,cube_inverse_lambda_1_seed0
ogbcube,OGBench-Cube,sigreg,0,,70,140,100,62.0,nan,65028,75028,923.6727602481842,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_70/metrics.json,cube_sigreg_seed0
ogbcube,OGBench-Cube,random,,0,70,140,100,41.0,nan,65028,75028,138.24380445480347,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_70,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_70/metrics.json,
ogbcube,OGBench-Cube,forward_only,0,,85,170,100,45.0,nan,65029,75029,905.258136510849,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_85/metrics.json,cube_forward_only_seed0
ogbcube,OGBench-Cube,inverse,0,,85,170,100,81.0,nan,65029,75029,1007.2224521636963,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_85/metrics.json,cube_inverse_lambda_1_seed0
ogbcube,OGBench-Cube,sigreg,0,,85,170,100,62.0,nan,65029,75029,1011.4299206733704,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_85/metrics.json,cube_sigreg_seed0
ogbcube,OGBench-Cube,random,,0,85,170,100,46.0,nan,65029,75029,149.01734614372253,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_85/metrics.json,
ogbcube,OGBench-Cube,forward_only,0,,100,200,100,50.0,nan,65030,75030,1219.6015253067017,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/forward_only/offset_100/metrics.json,cube_forward_only_seed0
ogbcube,OGBench-Cube,inverse,0,,100,200,100,86.0,nan,65030,75030,1216.629234790802,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/inverse/offset_100/metrics.json,cube_inverse_lambda_1_seed0
ogbcube,OGBench-Cube,sigreg,0,,100,200,100,67.0,nan,65030,75030,1138.6019976139069,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/sigreg/offset_100/metrics.json,cube_sigreg_seed0
ogbcube,OGBench-Cube,random,,0,100,200,100,46.0,nan,65030,75030,169.36079096794128,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/ogbcube/random/offset_100/metrics.json,
